Cyndaquil, 78, 116, 96
Quilava, 116, 158, 129
Typhlosion, 156, 223, 176
Totodile, 100, 117, 116
Croconaw, 130, 150, 151
Feraligatr, 170, 205, 197
Sentret, 70, 79, 77
Furret, 170, 148, 130
Hoothoot, 120, 67, 101
Noctowl, 200, 145, 179
Ledyba, 80, 72, 142
Ledian, 110, 107, 209
Spinarak, 80, 105, 73
Ariados, 140, 161, 128
Crobat, 170, 194, 178
Chinchou, 150, 106, 106
Lanturn, 250, 146, 146
Pichu, 40, 77, 63
Cleffa, 100, 75, 91
Igglybuff, 180, 69, 34
Togepi, 70, 67, 116
Togetic, 110, 139, 191
Natu, 80, 134, 89
Xatu, 130, 192, 146
Mareep, 110, 114, 82
Flaaffy, 140, 145, 112
Ampharos, 180, 211, 172
Bellossom, 150, 169, 189
Marill, 140, 37, 93
Azumarill, 200, 112, 152
Sudowoodo, 140, 167, 198
Politoed, 180, 174, 192
Hoppip, 70, 67, 101
Skiploom, 110, 91, 127
Jumpluff, 150, 118, 197
Aipom, 110, 136, 112
Sunkern, 60, 55, 55
Sunflora, 150, 185, 148
Yanma, 130, 154, 94
Wooper, 110, 75, 75
Quagsire, 190, 152, 152
Espeon, 130, 261, 194
Umbreon, 190, 126, 250
Murkrow, 120, 175, 87
Slowking, 190, 177, 194
Misdreavus, 120, 167, 167
Unown, 96, 136, 91
Wobbuffet, 380, 60, 106
Girafarig, 140, 182, 133
Pineco, 100, 108, 146
Forretress, 150, 161, 242
Dunsparce, 200, 131, 131
Gligar, 130, 143, 204
Steelix, 150, 148, 333
Snubbull, 120, 137, 89
Granbull, 180, 212, 137
Qwilfish, 130, 184, 148
Scizor, 140, 236, 191
Shuckle, 40, 17, 396
Heracross, 160, 234, 189
Sneasel, 110, 189, 157
Teddiursa, 120, 142, 93
Ursaring, 180, 236, 144
Slugma, 80, 118, 71
Magcargo, 100, 139, 209
Swinub, 100, 90, 74
Piloswine, 200, 181, 147
Corsola, 110, 118, 156
Remoraid, 70, 127, 69
Octillery, 150, 197, 141
Delibird, 90, 128, 90
Mantine, 130, 148, 260
Skarmory, 130, 148, 260
Houndour, 90, 152, 93
Houndoom, 150, 224, 159
Kingdra, 150, 194, 194
Phanpy, 180, 107, 107
Donphan, 180, 214, 214
Porygon2, 170, 198, 183
Stantler, 146, 192, 132
Smeargle, 110, 40, 88
Tyrogue, 70, 64, 64
Hitmontop, 100, 173, 214
Smoochum, 90, 153, 116
Elekid, 90, 135, 110
Magby, 90, 151, 108
Miltank, 190, 157, 211
Blissey, 510, 129, 229
Raikou, 180, 241, 210
Entei, 230, 235, 176
Suicune, 200, 180, 235
Larvitar, 100, 115, 93
Pupitar, 140, 155, 133
Tyranitar, 200, 251, 212
Lugia, 212, 193, 323
Ho-Oh, 193, 239, 274
Celebi, 200, 210, 210
Treecko, 80, 124, 104
Grovyle, 100, 172, 130
Sceptile, 140, 223, 180
Torchic, 90, 130, 92
Combusken, 120, 163, 115
Blaziken, 160, 240, 141
Mudkip, 100, 126, 93
Marshtomp, 140, 156, 133
Swampert, 200, 208, 175
Poochyena, 70, 96, 63
Mightyena, 140, 171, 137
Zigzagoon, 76, 58, 80
Linoone, 156, 142, 128
Wurmple, 90, 75, 61
Silcoon, 100, 60, 91
Beautifly, 120, 189, 98
Cascoon, 100, 60, 91
Dustox, 120, 98, 172
Lotad, 80, 71, 86
Lombre, 120, 112, 128
Ludicolo, 160, 173, 191
Seedot, 80, 71, 86
Nuzleaf, 140, 134, 78
Shiftry, 180, 200, 121
Taillow, 80, 106, 61
Swellow, 120, 185, 130
Wingull, 80, 106, 61
Pelipper, 120, 175, 189
Ralts, 56, 79, 63
Kirlia, 76, 117, 100
Gardevoir, 136, 237, 220
Surskit, 80, 93, 97
Masquerain, 140, 192, 161
Shroomish, 120, 74, 110
Breloom, 120, 241, 153
Slakoth, 120, 104, 104
Vigoroth, 160, 159, 159
Slaking, 273, 290, 183
Nincada, 62, 80, 153
Ninjask, 122, 196, 114
Shedinja, 2, 153, 80
Whismur, 128, 92, 42
Loudred, 168, 134, 81
Exploud, 208, 179, 142
Makuhita, 144, 99, 54
Hariyama, 288, 209, 114
Azurill, 100, 36, 71
Nosepass, 60, 82, 236
Skitty, 100, 84, 84
Delcatty, 140, 132, 132
Sableye, 100, 141, 141
Mawile, 100, 155, 155
Aron, 100, 121, 168
Lairon, 120, 158, 240
Aggron, 140, 198, 314
Meditite, 60, 78, 107
Medicham, 120, 121, 152
Electrike, 80, 123, 78
Manectric, 140, 215, 127
Plusle, 120, 167, 147
Minun, 120, 147, 167
Volbeat, 130, 143, 171
Illumise, 130, 143, 171
Roselia, 100, 186, 148
Gulpin, 140, 80, 99
Swalot, 200, 140, 159
Carvanha, 90, 171, 39
Sharpedo, 140, 243, 83
Wailmer, 260, 136, 68
Wailord, 340, 175, 87
Numel, 120, 119, 82
Camerupt, 140, 194, 139
Torkoal, 140, 151, 234
Spoink, 120, 125, 145
Grumpig, 160, 171, 211
Spinda, 120, 116, 116
Trapinch, 90, 162, 78
Vibrava, 100, 134, 99
Flygon, 160, 205, 168
Cacnea, 100, 156, 74
Cacturne, 140, 221, 115
Swablu, 90, 76, 139
Altaria, 150, 141, 208
Zangoose, 146, 222, 124
Seviper, 146, 196, 118
Lunatone, 180, 178, 163
Solrock, 180, 178, 163
Barboach, 100, 93, 83
Whiscash, 220, 151, 142
Corphish, 86, 141, 113
Crawdaunt, 126, 224, 156
Baltoy, 80, 77, 131
Claydol, 120, 140, 236
Lileep, 132, 105, 154
Cradily, 172, 152, 198
Anorith, 90, 176, 100
Armaldo, 150, 222, 183
Feebas, 40, 29, 102
Milotic, 190, 192, 242
Castform, 140, 139, 139
Castform Rainy, 140, 139, 139
Castform Snowy, 140, 139, 139
Castform Sunny, 140, 139, 139
Kecleon, 120, 161, 212
Shuppet, 88, 138, 66
Banette, 128, 218, 127
Duskull, 40, 70, 162
Dusclops, 80, 124, 234
Tropius, 198, 136, 165
Chimecho, 150, 175, 174
Absol, 130, 246, 120
Wynaut, 190, 41, 86
Snorunt, 100, 95, 95
Glalie, 160, 162, 162
Spheal, 140, 95, 90
Sealeo, 180, 137, 132
Walrein, 220, 182, 176
Clamperl, 70, 133, 149
Huntail, 110, 197, 194
Gorebyss, 110, 211, 194
Relicanth, 200, 162, 234
Luvdisc, 86, 81, 134
Bagon, 90, 134, 107
Shelgon, 130, 172, 179
Salamence, 190, 277, 168
Beldum, 80, 96, 141
Metang, 120, 138, 185
Metagross, 160, 257, 247
Regirock, 160, 179, 356
Regice, 160, 179, 356
Registeel, 160, 143, 285
Latias, 160, 228, 268
Latios, 160, 268, 228
Kyogre, 182, 270, 251
Groudon, 182, 270, 251
Rayquaza, 191, 284, 170
Jirachi, 200, 210, 210
Deoxys, 1, 1, 1
Deoxys Attack, 1, 1, 1
Deoxys Defense, 1, 1, 1
Deoxys Speed, 1, 1, 1
